election_date;election_type;foregin_registered_voters;foregin_voted_voters;total_voters;total_voted_voters;who_win
09.10.2005;pres_I;74115.0;52975.0;30260027;15051157;PO
23.10.2005;pres_II;80071.0;48196.0;30279209;15439684;PiS
20.06.2010;pres_I;198014.0;169094.0;30813005;16929088;PO
04.07.2010;pres_II;277016.0;203598.0;30833924;17054690;PO
10.05.2015;pres_I;196121.0;139055.0;30688570;14993571;PiS
24.05.2015;pres_II;257062.0;132380.0;30709281;16956615;PiS
28.06.2020;pres_I;373929.0;26457.0;30204241;19026173;PiS
12.07.2020;pres_II;524884.0;34692.0;30267989;20047104;PiS
25.09.2005;par;49840.0;35679.0;30229031;12263640;PiS
21.10.2007;par;190637.0;149183.0;30615471;16495045;PO
09.10.2011;par;119678.0;117467.0;30762931;15050027;PO
25.10.2015;par;199451.0;146043.0;30629150;15563499;PiS
13.10.2019;par;348948.0;315655.0;30252694;18681726;PiS
15.10.2023;par;635775.0;574931.0;29532271.0;21971304.0;PO
18.05.2025;pres_I;524204.0;467758.0;29252340.0;19692324.0;PO
